,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
82,2019-06-22,3015842.0615723883,2944824.5097407363,3056282.908269027,3015842.061572388,3015842.061572388,-17396.60405905928,-17396.60405905928,-17396.60405905928,-17396.60405905928,-17396.60405905928,-17396.60405905928,0.0,0.0,0.0,2998445.457513329
83,2019-06-23,3020358.6339128893,2958838.061745629,3069942.721055054,3020358.6339128893,3020358.6339128893,-4470.907330214781,-4470.907330214781,-4470.907330214781,-4470.907330214781,-4470.907330214781,-4470.907330214781,0.0,0.0,0.0,3015887.7265826743
84,2019-06-24,3024875.2062533903,2984492.7356648985,3104549.855671592,3024875.2062533903,3024875.2062533903,19951.25283431602,19951.25283431602,19951.25283431602,19951.25283431602,19951.25283431602,19951.25283431602,0.0,0.0,0.0,3044826.459087706
85,2019-06-25,3029391.7785938913,3000384.621967052,3118346.5298286364,3029391.7785938913,3029391.7785938913,27454.781720385687,27454.781720385687,27454.781720385687,27454.781720385687,27454.781720385687,27454.781720385687,0.0,0.0,0.0,3056846.560314277
86,2019-06-26,3033908.350934393,2984354.259672145,3099214.5331018036,3033908.350934393,3033908.350934393,8846.17193496119,8846.17193496119,8846.17193496119,8846.17193496119,8846.17193496119,8846.17193496119,0.0,0.0,0.0,3042754.522869354
87,2019-06-27,3038424.923274894,2960362.029962019,3075605.6225993983,3038424.923274894,3038424.923274894,-18532.547824228157,-18532.547824228157,-18532.547824228157,-18532.547824228157,-18532.547824228157,-18532.547824228157,0.0,0.0,0.0,3019892.3754506656
88,2019-06-28,3042941.495615395,2967033.02056312,3090991.4407529747,3042941.495615395,3042941.495615395,-15852.147276085654,-15852.147276085654,-15852.147276085654,-15852.147276085654,-15852.147276085654,-15852.147276085654,0.0,0.0,0.0,3027089.348339309
89,2019-06-29,3047458.067955896,2975017.786173339,3085793.432930802,3047458.067955896,3047458.067955896,-17396.604059053287,-17396.604059053287,-17396.604059053287,-17396.604059053287,-17396.604059053287,-17396.604059053287,0.0,0.0,0.0,3030061.4638968427
90,2019-06-30,3051974.640296397,2988901.0239705397,3105836.026788831,3051974.640296397,3051974.640296397,-4470.907330185975,-4470.907330185975,-4470.907330185975,-4470.907330185975,-4470.907330185975,-4470.907330185975,0.0,0.0,0.0,3047503.7329662107
91,2019-07-01,3056491.212636898,3018385.1522330055,3132014.7692267084,3056491.212636898,3056491.212636898,19951.252834318682,19951.252834318682,19951.252834318682,19951.252834318682,19951.252834318682,19951.252834318682,0.0,0.0,0.0,3076442.4654712165
92,2019-07-02,3061007.784977399,3029535.2729726564,3144968.232072008,3061007.784977399,3061007.784977399,27454.78172039317,27454.78172039317,27454.78172039317,27454.78172039317,27454.78172039317,27454.78172039317,0.0,0.0,0.0,3088462.566697792
93,2019-07-03,3065524.3573179,3014434.381823444,3131219.1623540306,3065524.3573179,3065524.3573179,8846.171934941673,8846.171934941673,8846.171934941673,8846.171934941673,8846.171934941673,8846.171934941673,0.0,0.0,0.0,3074370.5292528416
